riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs17382228-?	2.00E-06	-	NR	-	0.044 unit decrease	NR	SORCS2	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	129027:28:00	29160301	Fabbri C
rs6878462-?	2.00E-06	-	NR	-	0.1196 unit decrease	NR	CTNND2	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	186642:05:00	29160301	Fabbri C
rs112687359-?	5.00E-06	-	NR	-	0.068 unit decrease	NR	ADGRE3	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	244149:00:00	29160301	Fabbri C
rs59689479-?	4.00E-06	-	NR	-	0.1674 unit decrease	NR	CSGALNACT1	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	327725:00:00	29160301	Fabbri C
rs61924290-?	3.00E-06	-	NR	-	0.1183 unit decrease	NR	-	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	389816:56:00	29160301	Fabbri C
rs116692768-?	2.00E-06	-	NR	-	0.1261 unit decrease	NR	ITGA9	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	624986:11:00	29160301	Fabbri C
rs298207-?	5.00E-06	-	NR	-	0.0651 unit increase	NR	LINC01414,MIR124-2HG	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1072842:00:00	29160301	Fabbri C
rs12034885-?	3.00E-06	-	NR	-	0.0401 unit decrease	NR	KRT8P21,RN7SKP19	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1219764:56:00	29160301	Fabbri C
rs56060088-?	3.00E-06	-	NR	-	0.0402 unit decrease	NR	LINC01360	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1223819:05:00	29160301	Fabbri C
rs76191705-?	2.00E-06	-	NR	-	0.1863 unit decrease	NR	NRXN3	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1320882:39:00	29160301	Fabbri C
rs72819868-?	1.00E-06	-	NR	-	0.0974 unit decrease	NR	-	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1361727:01:00	29160301	Fabbri C
rs11813481-?	4.00E-06	-	NR	-	0.0451 unit increase	NR	NEURL1-AS1,NEURL1	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1725276:33:00	29160301	Fabbri C
rs117379618-?	2.00E-06	-	NR	-	0.1741 unit decrease	NR	HIGD1AP12,CHIAP3	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1856186:32:00	29160301	Fabbri C
rs116503642-?	5.00E-06	-	NR	-	0.1432 unit increase	NR	FEM1C,TICAM2	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	1926271:03:00	29160301	Fabbri C
rs3935545-?	5.00E-06	-	NR	-	0.0593 unit decrease	NR	LINC02361,NOC4L	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	2203038:19:00	29160301	Fabbri C
rs11167062-?	3.00E-06	-	NR	-	0.0448 unit increase	NR	MROH5	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	2357490:12:00	29160301	Fabbri C
rs78940746-?	3.00E-06	-	NR	-	0.1018 unit decrease	NR	ZNF639,KCNMB3	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	2988702:03:00	29160301	Fabbri C
rs4658888-?	4.00E-06	-	NR	-	0.0594 unit increase	NR	DISC1	Response to antidepressants (symptom improvement)	response to antidepressant	-	GCST007059	3864490:41:00	29160301	Fabbri C
SLC22A8-?	2.00E-06	(bupropion + escitalopram)	NR	-	-	-	-	Response to antidepressants in depression	response to antidepressant	unipolar depression	GCST006817	-	29998114	Gadad BS
rs10769025-?	1.00E-07	(escitalopram + placebo)	NR	-	-	-	ALX4	Response to antidepressants in depression	response to antidepressant	unipolar depression	GCST006817	737809:05:00	29998114	Gadad BS
LYPD6B-?	5.00E-06	(escitalopram + placebo)	NR	-	-	-	-	Response to antidepressants in depression	response to antidepressant	unipolar depression	GCST006817	-	29998114	Gadad BS
downstreamRASGEF1B-?	2.00E-06	(venlafaxine + mirtazapine)	NR	-	-	-	-	Response to antidepressants in depression	response to antidepressant	unipolar depression	GCST006817	-	29998114	Gadad BS
PPP5C-?	5.00E-06	(venlafaxine + mirtazapine)	NR	-	-	-	-	Response to antidepressants in depression	response to antidepressant	unipolar depression	GCST006817	-	29998114	Gadad BS
rs143397262-G	3.00E-07	-	NR	1.9093	-	NR	ADGRB3	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	1156163:04:00	33106475	Li QS
rs117613935-G	8.00E-06	-	NR	1.3999	-	NR	RELN	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	865817:38:00	33106475	Li QS
rs146026886-G	7.00E-06	-	NR	0.7195	-	NR	-	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	867641:52:00	33106475	Li QS
rs13225844-G	4.00E-06	-	NR	0.8685	-	NR	-	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	869464:20:00	33106475	Li QS
rs12155507-G	9.00E-06	-	NR	1.3945	-	NR	XRCC2,ATP5PBP3	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	2545367:53:00	33106475	Li QS
rs55731933-T	2.00E-06	-	NR	1.1856	-	NR	ADGRB1	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	2374574:32:00	33106475	Li QS
rs72789860-G	1.00E-06	-	NR	1.2469	-	NR	MTRNR2L7	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	627521:53:00	33106475	Li QS
rs182423331-T	4.00E-07	-	NR	1.2128	-	NR	ZNF248	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	629512:25:00	33106475	Li QS
rs72791791-G	8.00E-08	-	NR	0.8195	-	NR	ZNF25	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	632931:34:00	33106475	Li QS
rs72793759-G	2.00E-08	-	NR	0.8115	-	NR	PLD5P1,ZNF37A	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	635004:09:00	33106475	Li QS
rs59623126-G	3.00E-07	-	NR	1.2054	-	NR	PLD5P1,CCNYL4	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	636740:32:00	33106475	Li QS
rs150245813-T	8.00E-09	-	NR	0.7959	-	NR	PLD5P1	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	638407:32:00	33106475	Li QS
rs141905319-I	6.00E-07	-	NR	1.258	-	NR	CCNYL2,PABPC1P8	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	706348:29:00	33106475	Li QS
rs1941221-T	9.00E-06	-	NR	0.8826	-	NR	OPCML	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	2221423:02:00	33106475	Li QS
rs9543559-G	4.00E-06	-	NR	1.1606	-	NR	RPL21P108,RNY1P5	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	1238204:38:00	33106475	Li QS
rs938298-T	3.00E-06	-	NR	0.872	-	NR	SLFN11	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	589356:57:00	33106475	Li QS
rs143382920-G	6.00E-06	-	NR	0.6286	-	NR	NT5C3B	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	697261:24:00	33106475	Li QS
rs116934648-G	2.00E-06	-	NR	0.5847	-	NR	ODAD4	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	699366:49:00	33106475	Li QS
rs75709618-G	5.00E-06	-	NR	0.806	-	NR	CA10	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	869813:33:00	33106475	Li QS
rs201472877-I	6.00E-06	-	NR	1.8979	-	NR	MAG,CD22	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	588595:09:00	33106475	Li QS
rs148208076-G	6.00E-08	-	NR	2.1557	-	NR	TMX4	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	133362:19:00	33106475	Li QS
rs187931886-G	5.00E-06	-	NR	0.8668	-	NR	RNA5SP525	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	X:151053340	33106475	Li QS
rs45573441-T	6.00E-06	-	NR	0.4917	-	NR	XDH	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	522363:24:00	33106475	Li QS
rs111227877-G	4.00E-06	-	NR	1.7187	-	NR	CCR3,UQCRC2P1	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	771545:50:00	33106475	Li QS
rs73087860-T	9.00E-06	-	NR	0.7249	-	NR	PTPRG-AS1	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	1038408:36:00	33106475	Li QS
rs6764873-T	2.00E-07	-	NR	1.1591	-	NR	RNU6-1270P,PDZRN3	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	1222106:40:00	33106475	Li QS
rs141041718-T	2.00E-06	-	NR	0.5604	-	NR	ADTRP	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	response to antidepressant	-	GCST012157	196286:38:00	33106475	Li QS
rs1375194-?	2.00E-07	-	NR	1.2578616	-	[1.15-1.37]	FAM98A,ATP6V0E1P3	Response to antidepressants in depression	response to antidepressant	unipolar depression,mood disorder	GCST003803	560032:10:00	27622933	Li QS
rs190662943-?	7.00E-07	-	NR	14.419	-	[5.177-40.161]	DPP10	Response to antidepressants in depression	response to antidepressant	unipolar depression,mood disorder	GCST003803	1919918:49:00	27622933	Li QS
rs75507262-?	1.00E-06	-	NR	2.3255813	-	[1.69-3.21]	LINC02814,TMEM78	Response to antidepressants in depression	response to antidepressant	unipolar depression,mood disorder	GCST003803	3820229:57:00	27622933	Li QS
rs10847303-?	2.00E-06	-	NR	1.242236	-	[1.14-1.36]	LINC02376	Response to antidepressants in depression	response to antidepressant	unipolar depression,mood disorder	GCST003803	2120867:20:00	27622933	Li QS
rs73086581-?	2.00E-06	-	NR	1.299	-	[1.169-1.444]	RNF24	Response to antidepressants in depression	response to antidepressant	unipolar depression,mood disorder	GCST003803	66631:18:00	27622933	Li QS
rs1126757-?	3.00E-06	(escitalopram)	0.48	-	10.4 unit increase	[NR]	IL11	Response to antidepressants	response to antidepressant	-	GCST000643	922827:24:00	20360315	Uher R
rs2136093-?	4.00E-07	(whole sample)	0.31	-	8.3 unit decrease	[NR]	-	Response to antidepressants	response to antidepressant	-	GCST000643	1506839:51:00	20360315	Uher R
rs16920624-?	7.00E-07	(whole sample)	0.07	-	16.0 unit decrease	[NR]	MIR4675	Response to antidepressants	response to antidepressant	-	GCST000643	342036:36:00	20360315	Uher R
rs2500535-A	9.00E-06	(genotype x drug)	0.06	-	29.7 unit decrease	[NR]	UST	Response to antidepressants	response to antidepressant	-	GCST000643	2483474:51:00	20360315	Uher R
rs4651156-?	3.00E-06	(nortriptyline)	0.29	-	12.6 unit decrease	[NR]	RGL1	Response to antidepressants	response to antidepressant	-	GCST000643	3064465:58:00	20360315	Uher R
rs11666579-?	3.00E-06	(genotype x drug)	0.48	-	14.4 unit increase	[NR]	SLC27A1	Response to antidepressants	response to antidepressant	-	GCST000643	291343:32:00	20360315	Uher R
rs1013696-?	4.00E-06	(genotype x drug)	0.22	-	17.8 unit decrease	[NR]	NOL4,ASXL3	Response to antidepressants	response to antidepressant	-	GCST000643	564018:46:00	20360315	Uher R
rs2500535-A	4.00E-08	(nortriptyline)	0.06	-	27.0 unit decrease	[NR]	UST	Response to antidepressants	response to antidepressant	-	GCST000643	2483474:51:00	20360315	Uher R
rs12080794-?	9.00E-06	-	NR	1.75	-	[1.33-2.27]	GPR157,SLC2A5	Response to antidepressant treatment (citalopram)	response to antidepressant	-	GCST002046	151522:06:00	23726668	Hunter AM
rs7816924-A	2.00E-07	-	NR	2.14	-	[1.53-2.99]	CSGALNACT1	Response to antidepressant treatment (citalopram)	response to antidepressant	-	GCST002046	328043:27:00	23726668	Hunter AM
rs10492002-?	4.00E-06	-	NR	1.64	-	[1.33-2.00]	ACSS3	Response to antidepressant treatment (citalopram)	response to antidepressant	-	GCST002046	1352524:37:00	23726668	Hunter AM
rs188352979-?	3.00E-07	-	NR	2.87	-	[2.47-3.28]	ACADSB,HMX3	Antidepressant treatment resistance (> 2 drugs prescribed)	response to antidepressant	-	GCST007355	2051524:44:00	30700811	Wigmore EM
rs145842949-?	4.00E-07	-	NR	2.42	-	[2.08-2.77]	MON1B	Antidepressant treatment resistance (> 2 drugs prescribed)	response to antidepressant	-	GCST007355	1285196:46:00	30700811	Wigmore EM
rs111968111-?	4.00E-07	-	NR	3	-	[2.58-3.42]	SRPK1,SLC26A8	Antidepressant treatment resistance (> 2 drugs prescribed)	response to antidepressant	-	GCST007355	598845:01:00	30700811	Wigmore EM
rs138583130-?	5.00E-07	-	NR	2.5	-	[2.13-2.87]	MUC19,CNTN1	Antidepressant treatment resistance (> 2 drugs prescribed)	response to antidepressant	-	GCST007355	677173:18:00	30700811	Wigmore EM
rs116902282-?	2.00E-07	-	NR	-	0.49 unit increase	[0.34-0.64]	LINC02651,RPL5P26	Antidepressant treatment resistance (number of drugs prescribed)	response to antidepressant	-	GCST007356	1161920:08:00	30700811	Wigmore EM
rs188352979-?	4.00E-07	-	NR	-	0.33 unit increase	[0.2-0.46]	ACADSB,HMX3	Antidepressant treatment resistance (number of drugs prescribed)	response to antidepressant	-	GCST007356	2051524:44:00	30700811	Wigmore EM
rs182041872-?	5.00E-07	-	NR	-	0.3 unit increase	[0.18-0.42]	HMX3,ACADSB	Antidepressant treatment resistance (number of drugs prescribed)	response to antidepressant	-	GCST007356	2051563:38:00	30700811	Wigmore EM
rs4400118-?	5.00E-07	-	NR	-	0.29 unit increase	[0.18-0.4]	KCNN2	Antidepressant treatment resistance (number of drugs prescribed)	response to antidepressant	-	GCST007356	1904603:48:00	30700811	Wigmore EM
rs7239368-?	9.00E-06	(remission)	0.42	1.45	-	[1.22-1.69]	NOL4	Response to citalopram treatment	response to antidepressant	-	GCST000509	567774:55:00	19846067	Garriock HA
rs6966038-?	5.00E-07	(response)	0.19	1.64	-	[1.35-1.99]	UBE3C,MNX1-AS1	Response to citalopram treatment	response to antidepressant	-	GCST000509	2618135:24:00	19846067	Garriock HA
rs6127921-?	3.00E-06	(response)	0.82	1.64	-	[1.33-2.04]	-	Response to citalopram treatment	response to antidepressant	-	GCST000509	951081:34:00	19846067	Garriock HA
rs809736-?	8.00E-06	(response)	0.17	1.52	-	[1.27-1.83]	RORA	Response to citalopram treatment	response to antidepressant	-	GCST000509	1017308:09:00	19846067	Garriock HA
rs6127921-?	1.00E-06	(remission)	0.81	1.75	-	[1.39-2.17]	-	Response to citalopram treatment	response to antidepressant	-	GCST000509	951081:34:00	19846067	Garriock HA
rs6966038-?	4.00E-07	(remission)	0.2	1.68	-	[1.37-2.04]	UBE3C,MNX1-AS1	Response to citalopram treatment	response to antidepressant	-	GCST000509	2618135:24:00	19846067	Garriock HA
rs2830840-?	5.00E-06	(remission)	0.46	1.47	-	[1.23-1.72]	EIF4A1P1	Response to citalopram treatment	response to antidepressant	-	GCST000509	454904:48:00	19846067	Garriock HA
rs7715172-G	3.00E-06	(EA + AA - GSE)	0.071	-	-	-	EGFLAM	Response to citalopram treatment	response to antidepressant	-	GCST001591	640884:52:00	22760553	Adkins DE
rs17135437-A	3.00E-08	(EA + AA - Vision\hearing)	0.019	-	-	-	COL26A1	Response to citalopram treatment	response to antidepressant	-	GCST001591	1691218:53:00	22760553	Adkins DE
rs3810046-T	5.00E-07	(EA + AA - Overall tolerability)	0.456	-	-	-	LAMA1,RNU6-916P	Response to citalopram treatment	response to antidepressant	-	GCST001591	115712:23:00	22760553	Adkins DE
rs13430864-G	5.00E-07	(EA + AA - Dizziness)	0.04	-	-	-	BZW1-AS1,AOX2P	Response to citalopram treatment	response to antidepressant	-	GCST001591	3346400:36:00	22760553	Adkins DE
rs6040399-T	7.00E-07	(EA + AA - Dizziness)	0.308	-	-	-	-	Response to citalopram treatment	response to antidepressant	-	GCST001591	186292:43:00	22760553	Adkins DE
rs17135437-A	3.00E-06	(AA - Vision\hearing)	NR	-	-	-	COL26A1	Response to citalopram treatment	response to antidepressant	-	GCST001591	1691218:53:00	22760553	Adkins DE
rs6040399-T	1.00E-06	(AA - Dizziness)	NR	-	-	-	-	Response to citalopram treatment	response to antidepressant	-	GCST001591	186292:43:00	22760553	Adkins DE
rs11935103-T	1.00E-06	(EA + AA - GSE)	0.262	-	-	-	F11-AS1	Response to citalopram treatment	response to antidepressant	-	GCST001591	3106957:01:00	22760553	Adkins DE
rs2903308-A	2.00E-06	(EA + AA - Overall tolerability)	0.461	-	-	-	-	Response to citalopram treatment	response to antidepressant	-	GCST001591	226066:28:00	22760553	Adkins DE
rs4502542-T	2.00E-06	(EA + AA - GSE)	0.017	-	-	-	FHIT	Response to citalopram treatment	response to antidepressant	-	GCST001591	998924:34:00	22760553	Adkins DE
rs6563353-A	2.00E-06	(EA + AA - GSE)	0.177	-	-	-	-	Response to citalopram treatment	response to antidepressant	-	GCST001591	1392614:37:00	22760553	Adkins DE
rs16965962-T	3.00E-07	(EA + AA - GSE)	0.03	-	-	-	-	Response to citalopram treatment	response to antidepressant	-	GCST001591	1752590:52:00	22760553	Adkins DE
rs6646773-C	1.00E-06	(EA + AA - GSE)	0.076	-	-	-	-	Response to citalopram treatment	response to antidepressant	-	GCST001591	X:117088295	22760553	Adkins DE
rs6764050-G	9.00E-07	(EA + AA - GSE)	0.023	-	-	-	RTP2,SST	Response to citalopram treatment	response to antidepressant	-	GCST001591	3128273:03:00	22760553	Adkins DE
rs4398173-G	4.00E-06	(EA - Overall tolerability)	NR	-	-	-	RNU6-916P,LAMA1	Response to citalopram treatment	response to antidepressant	-	GCST001591	115703:09:00	22760553	Adkins DE
rs16965962-T	3.00E-07	(AA - GSE)	NR	-	-	-	-	Response to citalopram treatment	response to antidepressant	-	GCST001591	1752590:52:00	22760553	Adkins DE
rs11935103-T	2.00E-06	(EA - GSE)	NR	-	-	-	F11-AS1	Response to citalopram treatment	response to antidepressant	-	GCST001591	3106957:01:00	22760553	Adkins DE
rs365836-A	2.00E-06	-	NR	4.79	-	[2.38-9.64]	CUX1	Response to antidepressants	response to antidepressant	-	GCST001528	1702783:11:00	22584459	Sasayama D
rs1807204-T	3.00E-07	-	0.707	1.30226	-	[1.2-1.4]	DHX8	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	724843:41:00	35712048	Pain O
rs3900596-A	3.00E-06	-	0.814	0.7659	-	[0.65-0.88]	TLCD4-RWDD3,TLCD4	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1585900:53:00	35712048	Pain O
rs34170867-?	3.00E-06	-	0.867	1.39682	-	[1.26-1.54]	SAMD12	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1973736:07:00	35712048	Pain O
rs545208792-?	3.00E-06	-	0.603	0.71979	-	[0.58-0.86]	MYT1L	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	32610:28:00	35712048	Pain O
rs3976883-?	4.00E-06	-	0.769	1.39738	-	[1.26-1.54]	CBWD2	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1891111:10:00	35712048	Pain O
rs10968196-G	4.00E-06	-	0.9	1.44123	-	[1.29-1.6]	LINGO2,CTAGE12P	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	465409:53:00	35712048	Pain O
rs11302946-?	4.00E-06	-	0.201	1.50185	-	[1.33-1.67]	B4GALNT3	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	8447:08:00	35712048	Pain O
rs7567724-G	4.00E-06	-	0.874	1.45601	-	[1.3-1.62]	COLEC11	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	60223:06:00	35712048	Pain O
rs141235407-G	5.00E-06	-	0.98	3.49069	-	[2.95-4.03]	DDX54	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1886435:32:00	35712048	Pain O
rs78612462-G	5.00E-06	-	0.865	1.39361	-	[1.25-1.54]	RAD51B	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1144880:38:00	35712048	Pain O
rs7753048-C	6.00E-06	-	0.877	1.39934	-	[1.25-1.54]	CCN2,ENPP1	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	2198281:47:00	35712048	Pain O
rs112409802-G	7.00E-06	-	0.764	1.28108	-	[1.17-1.39]	CLSTN2	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	2341611:00:00	35712048	Pain O
rs77452989-A	8.00E-06	-	0.93	1.55473	-	[1.36-1.75]	CNN3-DT,ALG14	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1582753:23:00	35712048	Pain O
rs11357137-?	8.00E-06	-	0.254	0.76682	-	[0.65-0.88]	TMPO,PPIAP8	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1642845:48:00	35712048	Pain O
rs140712235-?	8.00E-06	-	0.795	1.35581	-	[1.22-1.49]	ABCG2	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	1469120:55:00	35712048	Pain O
rs11652675-G	9.00E-06	-	0.964	2.02304	-	[1.71-2.33]	WFIKKN2,MIR8059	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	846697:13:00	35712048	Pain O
rs2027719-T	1.00E-05	-	0.445	1.23134	-	[1.14-1.32]	D21S2088E	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	389467:49:00	35712048	Pain O
rs6962925-A	1.00E-05	-	0.566	0.80092	-	[0.7-0.9]	SEC61G-DT,EGFR	Remission after antidepressant treatment in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244577	913960:18:00	35712048	Pain O
rs745581-C	2.00E-06	-	NR	-	0.572 unit increase	-	LINC01250,MYT1L	Response to antidepressants in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244559	45490:54:00	36228427	Yuan J
rs1883901-A	4.00E-06	-	NR	-	0.494 unit increase	-	MDGA1	Response to antidepressants in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244559	627726:55:00	36228427	Yuan J
rs10948514-T	2.00E-08	-	NR	-	0.454 unit increase	-	CYP2AC1P,RHAG	Response to antidepressants in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244559	826540:40:00	36228427	Yuan J
rs10226923-A	3.00E-06	-	NR	-	1.768 unit increase	-	LINC02476,GTF3AP6	Response to antidepressants in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244559	1983110:30:00	36228427	Yuan J
rs147165257-G	4.00E-06	-	NR	-	1.774 unit increase	-	LINC02476	Response to antidepressants in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244559	1991742:07:00	36228427	Yuan J
rs546236721-C	5.00E-06	-	NR	-	0.425 unit increase	-	KSR1P1,CHEK2P5	Response to antidepressants in major depressive disorder	response to antidepressant	major depressive disorder	GCST90244559	697630:10:00	36228427	Yuan J
rs1026501-G	4.00E-06	-	NR	0.21	-	[0.11-0.4]	SYNPO2,MYOZ2	Remission after sertraline plus olanzapine treatment in psychotic depression	response to sertraline,psychotic symptom measurement,response to olanzapine	major depressive episode,unipolar depression	GCST90275121	1984872:36:00	37015192	Men X
rs12347401-C	5.00E-06	-	NR	0.11	-	[0.04-0.28]	ASS1,FUBP3	Remission after sertraline plus olanzapine treatment in psychotic depression	response to sertraline,psychotic symptom measurement,response to olanzapine	major depressive episode,unipolar depression	GCST90275121	2176312:55:00	37015192	Men X
rs11243867-T	5.00E-06	-	NR	0.11	-	[0.04-0.28]	FUBP3,ASS1	Remission after sertraline plus olanzapine treatment in psychotic depression	response to sertraline,psychotic symptom measurement,response to olanzapine	major depressive episode,unipolar depression	GCST90275121	2176324:30:00	37015192	Men X
rs12336064-A	5.00E-06	-	NR	0.11	-	[0.04-0.28]	ASS1,FUBP3	Remission after sertraline plus olanzapine treatment in psychotic depression	response to sertraline,psychotic symptom measurement,response to olanzapine	major depressive episode,unipolar depression	GCST90275121	2176151:52:00	37015192	Men X
rs2745253-A	5.00E-06	-	NR	0.27	-	[0.15-0.47]	TMCO4	Remission after sertraline plus olanzapine treatment in psychotic depression	response to sertraline,psychotic symptom measurement,response to olanzapine	major depressive episode,unipolar depression	GCST90275121	329467:47:00	37015192	Men X
rs6844137-T	5.00E-06	-	NR	0.15	-	[0.07-0.34]	SYNPO2	Remission after sertraline plus olanzapine treatment in psychotic depression	response to sertraline,psychotic symptom measurement,response to olanzapine	major depressive episode,unipolar depression	GCST90275123	1984219:35:00	37015192	Men X
rs78087832-?	6.00E-07	-	NR	2.731	-	[1.933-3.857]	CUL3	Response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003806	3743336:20:00	27622933	Li QS
rs112106319-?	1.00E-06	-	NR	2.3255813	-	[1.59-3.4]	DELEC1,TNC	Response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003806	1918251:19:00	27622933	Li QS
rs73425402-?	1.00E-06	-	NR	20.833332	-	[8.26-52.63]	NAV3	Response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003806	1291737:18:00	27622933	Li QS
rs190783615-?	2.00E-17	-	NR	15.18	-	[3.095-74.439]	-	Non-response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003804	X:142772620	27622933	Li QS
rs201203751-?	5.00E-07	-	NR	4.009	-	[2.537-6.336]	FYB1	Non-response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003804	653396:36:00	27622933	Li QS
rs183124483-?	6.00E-07	-	NR	14.925372	-	[6.85-32.26]	NLK	Non-response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003804	468517:28:00	27622933	Li QS
rs56388524-?	7.00E-07	-	NR	1.798	-	[1.451-2.228]	HCN1	Non-response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003804	762629:19:00	27622933	Li QS
rs143405544-?	7.00E-07	-	NR	6.711409	-	[2.44-18.52]	ADAMTS6	Non-response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003804	1091001:17:00	27622933	Li QS
rs183042538-?	8.00E-07	-	NR	1.431	-	[1.249-1.638]	ZHX3	Non-response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003804	686643:40:00	27622933	Li QS
rs200855945-?	4.00E-07	-	NR	4.929	-	[2.35-10.34]	BHLHE41,SSPN	Response to bupropion and depression	unipolar depression,response to bupropion,mood disorder	-	GCST003806	435428:01:00	27622933	Li QS
